Iteracion,Tiempo_ReMatch,Outputs_ReMatch,Tiempo_RePython,Outputs_RePython
1,5.5262157917022705,269247,0.5783286094665527,269006
2,5.284258842468262,269247,0.31709957122802734,269006
3,5.436471462249756,269247,0.3011474609375,269006
4,6.442476034164429,269247,0.298506498336792,269006
5,5.372376441955566,269247,0.32792234420776367,269006
6,5.301878929138184,269247,0.3027379512786865,269006
7,5.376229286193848,269247,0.2978653907775879,269006
8,5.348419904708862,269247,0.31665587425231934,269006
9,5.58991265296936,269247,0.30279970169067383,269006
10,5.329279184341431,269247,0.3038177490234375,269006
11,5.310625076293945,269247,0.31812405586242676,269006
12,5.351631164550781,269247,0.2976856231689453,269006
13,5.505060434341431,269247,0.30299830436706543,269006
14,5.352555513381958,269247,0.31613659858703613,269006
15,5.3704938888549805,269247,0.3214132785797119,269006
16,5.661998748779297,269247,0.30042243003845215,269006
17,6.245326995849609,269247,0.32484936714172363,269006
18,5.824328422546387,269247,0.30683445930480957,269006
19,5.414667129516602,269247,0.29765987396240234,269006
20,5.651616334915161,269247,0.3110802173614502,269006
21,5.292332649230957,269247,0.29900670051574707,269006
22,5.982531547546387,269247,0.30220675468444824,269006
23,5.6467976570129395,269247,0.31000638008117676,269006
24,5.424955129623413,269247,0.29956579208374023,269006
25,5.317167282104492,269247,0.2993478775024414,269006
26,6.068504810333252,269247,0.3300354480743408,269006
27,5.688570022583008,269247,0.3019745349884033,269006
28,5.334011077880859,269247,0.3060495853424072,269006
29,5.984649181365967,269247,0.31564831733703613,269006
30,6.656312942504883,269247,0.30420923233032227,269006
Promedio,5.603055151303609,-,0.31707119941711426,-
