Iteracion,Tiempo_ReMatch,Outputs_ReMatch,Tiempo_RePython,Outputs_RePython
1,8.487911939620972,429285,0.9329137802124023,428804
2,8.44173288345337,429285,0.49735522270202637,428804
3,8.522304058074951,429285,0.4783952236175537,428804
4,8.464264154434204,429285,0.4952681064605713,428804
5,8.460136890411377,429285,0.47335362434387207,428804
6,8.88069200515747,429285,0.5006322860717773,428804
7,8.48671555519104,429285,0.47206950187683105,428804
8,8.581600904464722,429285,0.4876697063446045,428804
9,8.495069980621338,429285,0.47385358810424805,428804
10,8.473217487335205,429285,0.485614538192749,428804
11,9.124265432357788,429285,0.47298765182495117,428804
12,8.624306201934814,429285,0.48908281326293945,428804
13,8.719029903411865,429285,0.4717369079589844,428804
14,8.423603534698486,429285,0.49243640899658203,428804
15,9.34573769569397,429285,0.47229599952697754,428804
16,8.82709813117981,429285,0.4844217300415039,428804
17,8.539884805679321,429285,0.47547101974487305,428804
18,8.523463487625122,429285,0.49224424362182617,428804
19,9.857399702072144,429285,0.47620487213134766,428804
20,8.586613893508911,429285,0.4844675064086914,428804
21,8.487091541290283,429285,0.47361016273498535,428804
22,9.804024934768677,429285,0.48528409004211426,428804
23,8.5408935546875,429285,0.47209692001342773,428804
24,8.510189294815063,429285,0.4882833957672119,428804
25,8.502525091171265,429285,0.47411489486694336,428804
26,8.580822944641113,429285,0.48726367950439453,428804
27,8.726533889770508,429285,0.4734077453613281,428804
28,8.569905996322632,429285,0.4741675853729248,428804
29,8.476189613342285,429285,0.4866337776184082,428804
30,8.497849941253662,429285,0.4734835624694824,428804
Promedio,8.685369181632996,-,0.4965606848398844,-
