x = |10084398,10086397>
x = |10407514,10409511>
x = |10410739,10412736>
x = |10412737,10415124>
x = |10417776,10419773>
x = |10438308,10440695>
x = |10439502,10441889>
x = |10440696,10443083>
x = |10465291,10467288>
x = |10494839,10496836>
x = |10500840,10502839>
x = |10582323,10584322>
x = |10654393,10656780>
x = |1066463,1068460>
x = |1068884,1070881>
x = |1073500,1075497>
x = |10792163,10794550>
x = |10865107,10867105>
x = |10868334,10870721>
x = |10875723,10878115>
x = |10884394,10886781>
x = |10900325,10902324>
x = |10955573,10957572>
x = |10984753,10986752>
x = |11001756,11002802>
x = |11028193,11029244>
x = |11032826,11033877>
x = |11039584,11040630>
x = |11042828,11043880>
x = |11054520,11056524>
x = |11084961,11086008>
x = |11150331,11152718>
x = |11157726,11158776>
x = |11158777,11160214>
x = |11179423,11181422>
x = |11199638,11200693>
x = |11201272,11202318>
x = |11231587,11232636>
x = |11239317,11240367>
x = |11261355,11262400>
x = |11279890,11280938>
x = |11283941,11286328>
x = |11345256,11346305>
x = |11389717,11392104>
x = |11396528,11398525>
x = |11413718,11416105>
x = |11414912,11417299>
x = |11430109,11432106>
x = |11489049,11491047>
x = |11516991,11518041>
x = |11523236,11524280>
x = |11526476,11527520>
x = |11532717,11534150>
x = |11560193,11561240>
x = |11599255,11600303>
x = |11603887,11604933>
x = |11613132,11614186>
x = |11653837,11654886>
x = |11658695,11661082>
x = |11663087,11664138>
x = |11669575,11670623>
x = |11765000,11766997>
x = |11806872,11808869>
x = |11878221,11879271>
x = |11895195,11897582>
x = |11941646,11942699>
x = |11948750,11949807>
x = |11959115,11960172>
x = |11960753,11961808>
x = |12101004,12102057>
x = |12139827,12140887>
x = |12149513,12151516>
x = |12164232,12165284>
x = |12215673,12216727>
x = |12227922,12230309>
x = |12263496,12264544>
x = |12325570,12326621>
x = |12329637,12330688>
x = |12336618,12337669>
x = |12338476,12340868>
x = |12349685,12351689>
x = |12371278,12372329>
x = |12416073,12418460>
x = |12448956,12450012>
x = |12452700,12453748>
x = |12461949,12462999>
x = |12492262,12493316>
x = |12512146,12513198>
x = |12514026,12515077>
x = |12530511,12531568>
x = |12556164,12557214>
x = |12560157,12561207>
x = |12570645,12571698>
x = |12756441,12758440>
x = |12879812,12882204>
x = |12942162,12944161>
x = |13084020,13086017>
x = |13103172,13105171>
x = |13134009,13136008>
x = |13247713,13248763>
x = |13249591,13250644>
x = |13253583,13254631>
x = |13256596,13257651>
x = |13265062,13267064>
x = |13292584,13293633>
x = |13310071,13312463>
x = |13378342,13379393>
x = |13396316,13398315>
x = |13402900,13403959>
x = |13412163,13413213>
x = |13435295,13436341>
x = |13439648,13440695>
x = |13441276,13442322>
x = |13447363,13448413>
x = |13455802,13457806>
x = |13472845,13475232>
x = |13485396,13486447>
x = |13556724,13557771>
x = |13559975,13561024>
x = |13563327,13564377>
x = |13577216,13578271>
x = |13580461,13582843>
x = |13586458,13588845>
x = |13605882,13606936>
x = |13609876,13610929>
x = |13635531,13637923>
x = |13659149,13661536>
x = |13790190,13792577>
x = |13829769,13832166>
x = |14052875,14054873>
x = |14119480,14121867>
x = |14371446,14373440>
x = |14398581,14399596>
x = |14409411,14411798>
x = |14467127,14468149>
x = |14470526,14471543>
x = |14474636,14477023>
x = |14554926,14556925>
x = |14588115,14589133>
x = |14625970,14626995>
x = |14650167,14651184>
x = |14687742,14688761>
x = |14730558,14731577>
x = |14753478,14754492>
x = |14767888,14769886>
x = |14772276,14774275>
x = |14799555,14800570>
x = |14801786,14802802>
x = |14823017,14824033>
x = |14864146,14866144>
x = |14883431,14884449>
x = |14894451,14896450>
x = |14976822,14978826>
x = |14996016,14998015>
x = |15048666,15050663>
x = |15062856,15065248>
x = |15133224,15134239>
x = |15147133,15148146>
x = |15154732,15155748>
x = |15193136,15194155>
x = |15197158,15199156>
x = |15203739,15204755>
x = |15212970,15213987>
x = |15217849,15219848>
x = |15239227,15241231>
x = |15284358,15285381>
x = |15301608,15303035>
x = |15490832,15492830>
x = |15565956,15566976>
x = |15619352,15620375>
x = |15625574,15626599>
x = |15634506,15635532>
x = |15690649,15693036>
x = |15774894,15776891>
x = |15823414,15825801>
x = |15836642,15837663>
x = |15850866,15851895>
x = |15873782,15874804>
x = |15938890,15939910>
x = |16051691,16053099>
x = |16057173,16058194>
x = |16058195,16059601>
x = |16067988,16069011>
x = |16075028,16077032>
x = |16100800,16102797>
x = |16104603,16106990>
x = |16114991,16116012>
x = |16238564,16240562>
x = |16265830,16266849>
